,akcja,akcji,autor,autorka,autorki,bohaterowie,bohaterów,choć,chyba,ciekawa,czas,czyta,części,część,dobra,dzięki,fabuła,historia,historii,historię,końca,końcu,książce,książek,książka,książki,książkę,którą,ludzi,mamy,miałam,miłości,miłość,mogę,najbardziej,napisana,naprawdę,niestety,opowieść,pewno,początku,polecam,postaci,powieści,powieść,prostu,przeczytać,raz,razem,serii,siebie,strony,swoją,szybko,tom,trochę,tą,tę,warto,wiem,wrażenie,zakończenie,zdecydowanie,świat,świata,życia,życie,życiu,length,scores
4469,0.0,0.0,0.39039702397719306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2706639777534139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3974998711998064,0.0,0.7850637090151269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,461,5.0
4557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24274000989019642,0.26927616845481517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27358213139032045,0.0,0.18168902503134357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2646349146429716,0.0,0.0,0.0,0.0,0.0,0.0,0.2632820926896364,0.0,0.652299003042106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25103755667972755,0.0,0.0,0.27313925588467397,0.0,0.0,0.0,0.0,0.24133286670090556,0.0,0.0,2456,4.0
1463,0.0,0.0,0.0,0.0,0.0,0.3113275749953543,0.0,0.0,0.3267826239227199,0.30842901647253235,0.0,0.0,0.285901106439562,0.0,0.30904175591233407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17753313637100568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3245333526339818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5430017718322625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30368192947915285,0.0,0.0,0.0,0.0,736,2.0
4219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5250476898843253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5662391503664582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6353724482060935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187,4.0
4128,0.0,0.0,0.0,0.4556916773994773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5093615344050602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5382548925945373,0.0,0.0,0.4931304016337024,0.0,0.0,0.0,0.0,697,3.0
5367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.0
1287,0.0,0.0,0.6080470043554272,0.0,0.0,0.0,0.0,0.1917788506382386,0.0,0.0,0.0,0.0,0.18612904356991392,0.0,0.0,0.21703062087991112,0.0,0.0,0.0,0.0,0.0,0.0,0.1920039389744953,0.0,0.11557868133570068,0.0,0.0,0.0,0.20421217323037727,0.21016726588748041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2063699183738573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4127398367477146,0.0,0.0,0.0,0.0,0.0,0.21579603865651031,0.0,0.0,0.0,0.3408018776758399,0.0,2118,4.0
881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0
1289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251,1.0
5978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,2.0
